Date,Discount
1-Oct-12,-0.03
28-Sep-12,-0.07
27-Sep-12,0.03
26-Sep-12,0.04
25-Sep-12,0.07
24-Sep-12,0.04
21-Sep-12,-0.01
20-Sep-12,0.02
19-Sep-12,-0.02
18-Sep-12,0.04
17-Sep-12,0.02
14-Sep-12,0.01
13-Sep-12,0.02
12-Sep-12,0.04
11-Sep-12,-0.03
10-Sep-12,0.04
7-Sep-12,-0.01
6-Sep-12,-0.02
5-Sep-12,0.02
4-Sep-12,-0.03
31-Aug-12,0
30-Aug-12,0.02
29-Aug-12,-0.01
28-Aug-12,0.03
27-Aug-12,0.03
24-Aug-12,-0.02
23-Aug-12,0.04
22-Aug-12,0.02
21-Aug-12,0.04
20-Aug-12,-0.02
17-Aug-12,-0.02
16-Aug-12,0.02
15-Aug-12,-0.02
14-Aug-12,0.02
13-Aug-12,0.03
10-Aug-12,-0.03
9-Aug-12,0.01
8-Aug-12,0.01
7-Aug-12,-0.02
6-Aug-12,0.02
3-Aug-12,0.05
2-Aug-12,5.77
1-Aug-12,-0.05
31-Jul-12,-0.07
30-Jul-12,0
27-Jul-12,-0.02
26-Jul-12,0
25-Jul-12,0.04
24-Jul-12,0.03
23-Jul-12,-0.03
20-Jul-12,0.06
19-Jul-12,-0.03
18-Jul-12,-0.01
17-Jul-12,-0.04
16-Jul-12,-0.02
13-Jul-12,-0.05
12-Jul-12,0.02
11-Jul-12,-0.03
10-Jul-12,-0.03
9-Jul-12,0.01
6-Jul-12,0
5-Jul-12,0.04
3-Jul-12,0.01
2-Jul-12,-0.07
29-Jun-12,0.03
28-Jun-12,-0.07
27-Jun-12,0.02
26-Jun-12,0.03
25-Jun-12,-0.02
22-Jun-12,0.04
21-Jun-12,-0.01
20-Jun-12,0.02
19-Jun-12,0
18-Jun-12,0.04
15-Jun-12,-0.05
14-Jun-12,0
13-Jun-12,0.02
12-Jun-12,-0.01
11-Jun-12,0.03
8-Jun-12,0
7-Jun-12,0
6-Jun-12,-0.01
5-Jun-12,-0.01
4-Jun-12,-0.1
1-Jun-12,-0.05
31-May-12,0.03
30-May-12,0
29-May-12,0.03
25-May-12,-0.02
24-May-12,0.04
23-May-12,0
22-May-12,0.03
21-May-12,0.02
18-May-12,-0.05
17-May-12,-0.01
16-May-12,0.02
15-May-12,-0.01
14-May-12,0.03
11-May-12,-0.02
10-May-12,-0.01
9-May-12,0.06
8-May-12,-0.01
7-May-12,0.01
4-May-12,-0.03
3-May-12,0
2-May-12,0
1-May-12,0.03
30-Apr-12,-0.06
27-Apr-12,0
26-Apr-12,0.03
25-Apr-12,0.02
24-Apr-12,0.04
23-Apr-12,0.01
20-Apr-12,0.01
19-Apr-12,-0.01
18-Apr-12,0.02
17-Apr-12,-0.03
16-Apr-12,-0.02
13-Apr-12,0.03
12-Apr-12,0.01
11-Apr-12,0.01
10-Apr-12,-0.03
9-Apr-12,-0.01
5-Apr-12,-0.03
4-Apr-12,0
3-Apr-12,-0.03
2-Apr-12,-0.03
30-Mar-12,-0.05
29-Mar-12,-0.03
28-Mar-12,-0.01
27-Mar-12,0
26-Mar-12,0.02
23-Mar-12,0.04
22-Mar-12,0.01
21-Mar-12,0.03
20-Mar-12,-0.01
19-Mar-12,0
16-Mar-12,0.01
15-Mar-12,-0.05
14-Mar-12,0.01
13-Mar-12,-0.01
12-Mar-12,0.02
9-Mar-12,0.03
8-Mar-12,0
7-Mar-12,0.03
6-Mar-12,-0.01
5-Mar-12,-0.01
2-Mar-12,-0.01
1-Mar-12,-0.04
29-Feb-12,-0.03
28-Feb-12,0.02
27-Feb-12,0.03
24-Feb-12,0.01
23-Feb-12,0
22-Feb-12,0
21-Feb-12,0
17-Feb-12,0.03
16-Feb-12,0
15-Feb-12,0.01
14-Feb-12,0
